"city_key","city_name","priority","research_scope","required_output","status"
"erzurum","Erzurum","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"eskisehir","Eskişehir","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"gaziantep","Gaziantep","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"giresun","Giresun","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"gumushane","Gümüşhane","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"hakkari","Hakkari","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"hatay","Hatay","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"igdir","Iğdır","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"isparta","Isparta","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"istanbul","İstanbul","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"izmir","İzmir","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kahramanmaras","Kahramanmaraş","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"karabuk","Karabük","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"karaman","Karaman","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kars","Kars","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kastamonu","Kastamonu","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kayseri","Kayseri","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kirikkale","Kırıkkale","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kirklareli","Kırklareli","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kirsehir","Kırşehir","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kilis","Kilis","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kocaeli","Kocaeli","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"konya","Konya","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"kutahya","Kütahya","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"malatya","Malatya","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"manisa","Manisa","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"mardin","Mardin","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"mersin","Mersin","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"mugla","Muğla","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"mus","Muş","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"nevsehir","Nevşehir","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"nigde","Niğde","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"ordu","Ordu","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"osmaniye","Osmaniye","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"rize","Rize","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"sakarya","Sakarya","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"samsun","Samsun","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"siirt","Siirt","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"sinop","Sinop","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"sivas","Sivas","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"sanliurfa","Şanlıurfa","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"sirnak","Şırnak","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"tekirdag","Tekirdağ","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"tokat","Tokat","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"trabzon","Trabzon","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"tunceli","Tunceli","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"usak","Uşak","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"van","Van","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"yalova","Yalova","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"yozgat","Yozgat","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"zonguldak","Zonguldak","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
