"specialty_key","city_key","city_name","name","kind","source_popularity_score","description","primary_image_url","gallery_json","source_url","imported_at","content_status"
"adiyaman-besni-tava","adiyaman","Adıyaman","BESNİ TAVA","","26","Adıyaman'ın domates tavasına benzerlik gösteren bu yemek, gerek malzemenin tavaya dizilişi gerekse pişiriliş yönünden tamamen Besni Mutfağı'na ait usul ve yöntemlerle hazırlanan bir yemektir. Besni Tavası'nın tarifi 2006 yılında Besni ilçesinde kendine özgü bir üne sahip olan Kopo Lakaplı Fırıncı ustası Sait Sümgel'le bire bir yaptığımız görüşmeden eldeki bilgiler ile bir Besni gönüllüsü olan Hasan Emre'den aldığımız bilgilerin karşılaştırılmasından oluşmaktadır. Besni Tava Malzemeleri Nelerdir 1 kg kuzu kuşbaşı 1,5 kg patlıcan 1 g domates 250 g yeşilbiber 1 yemek kaşığı pulbiber 1 fincan zeytinyağı 5 diş sarımsak 2 çay kaşığı karabiber 1 su bardağı su 1 yemek kaşığı tuz Besni Tava Nasıl Yapılır Etler kuşbaşı doğranarak yağda kavrulur, patlıcanlar zar şeklinde büyük bir tepsiye doğranır, sonra biberler doğranır. Domateslerin kabukları soyularak doğranır, doğranan bu malzemelerin yarısı bir kaba alınır. Tepside kalan malzemenin üstüne kavrulan kuşbaşılar ilave edilir. Kuşbaşının üstüne de öteki ayrılan doğranmış malzemeler eklenir ve üzerine sarımsak rendelenir. Baharat, yağ,tuz ve su ilave edilerek fırına verilir. Lavaş ekmeği ile yenilmesi önerilir. Kaynak: Öncü,M.(2016).Adıyaman Cemile Mutfak Kültürü. Adıyaman Tanıtma Vakfı Yayınları(ATAV)","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530100140828_tava.jpg?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530100140828_tava.jpg?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530100140828_tava.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530100155125_DOMATES_TAVA2.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20210521032013042_Balik_Eksilemesi.png?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/besni-tava","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-basalla--kilotik-","adiyaman","Adıyaman","BASALLA","","26","Besni ve Tut ilçesi mutfağına özgü bir köfte türüdür. Bol etli ve yağlı pişirilen bu köftenin merkez ilçe mutfağındaki ekşili köfte ile benzerliği vardır. Basalla yemeğine Kılotik de denmektedir. Basalla (Kılotik) Malzemeleri Nelerdir Köftesi için : 4 su bardağı köftelik bulgur 100 gr yağsız kıyma 1 su bardağı irmik 5 çorba kaşığı un 1 yemek kaşığından az salça 1 adet yumurta nar ekşisi Suyu İçin : 300 g haşlanmış kuşbaşı doğranmış kuzu eti 2 su bardağı haşlanmış nohut 1 büyük boy soğan 1 yemek kaşığı salça Sumak ekşisi Nane Tuz Basalla (Kılotik) Nasıl Yapılır İrmik ve bulgur soğuk su ile kısır gibi ıslatılır 5 dk ıslanmasını bekledikten sonra kıyma ve salçası konur, iyice yoğurulur. Yoğrulduktan sonra unu eklenir. Köfteyi yoğurduktan sonra nohut büyüklüğünde parçalar koparıp yuvarlanır köftenin tamamını yuvarladıktan sonra üzerini kurumaması için kapatıp bekletilir. .Suyunu yapmak için bir tencerenin içine soğanı doğranır yağda kavurulur, salçası da eklenir. Kavrulduktan sonra et ve nohutu önceden haşlanır, eti suyu ile birlikte eklenir. Bu şekildeki suyu 30 dk kadar kısık ateşte özleşene kadar kaynatılır. Nohutunu ekleyip 10 dk daha kaynattıktan sonra köfteleri konulur, tuzu ve ekşisini eklenir. 3 dk köfteleri kaynatıp altı kapatılır. Üzerine kuru nane atıp ağzını kapatılır. Kaynak: Öncü,M.(2016).Adıyaman Cemile Mutfak Kültürü. Adıyaman Tanıtma Vakfı Yayınları(ATAV)","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530105017541_basalla.jpg?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530105017541_basalla.jpg?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530105017541_basalla.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530105420582_EKSILI_KOFTE.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/26032013/f33c543c-7099-4b5d-ba22-0addf3bc608d.JPG?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/basalla--kilotik-","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-peynirli-helva-1","adiyaman","Adıyaman","PEYNİRLİ HELVA","","26","Adıyaman'a has bu tatlının ildeki tarihi oldukça eskidir. Eskiden irmik yerine dibekte dövülmüş pirinçten elde edilen un, pekmez, peynir ve tereyağıyla yapılmakta olan bu helva şimdi bulunması daha kolay olan sanayi ürünü irmik, şeker, tuzsuz peynir ve margarin kullanılarak yapılmaktadır. Peynirli Helva Malzemeleri Nelerdir (4 Kişilik) 2 su bardağı irmik 2 su bardağı su 2 su bardağı şeker 200 g tuzsuz Adıyaman peyniri 200 g margarin 50 g besni fıstığı içi Peynirli Helva Nasıl Yapılır Kızdırılmış yağın içine irmik atılıp gayet ağır ateşte renk alana kadar 10 dakika karıştırılır. Su ve şekeri konulup suyu çekinceye kadar karıştırılır. Ağır ateşe alınır. Ara ara yağ ilave edilerek pişirilir. Bıçakla olabildiğince ince doğranmış (rendelenmiş de olabilir) peynir ilave edilerek iyice altüst edilir. 10 dakika dinlendikten sonra helva hazırdır. Ilık ya da soğuk servis yapılır. Servis tabağına konulduktan sonra üzerine öğütülmüş Besni Fıstığı serpilir. Kaynak: Öncü, M.(2016).Adıyaman Cemile Mutfak Kültürü. Adıyaman Tanıtma Vakfı Yayınları(ATAV)","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190529124811260_peynirli helva (2).JPG?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190529124811260_peynirli helva (2).JPG?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/10012013/7190e513-be98-4349-a349-7d4585065db9.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528104450801_Dovmec.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/18022013/2a0837e1-ba18-468f-bbde-b6235e4292ff.JPG?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/peynirli-helva-1","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-et-kizartmasi-1","adiyaman","Adıyaman","ET KIZARTMASI","","26","Et Kızartması Tarifi Adıyaman şehir merkezinde, şehirli hanımların mahir ellerine özgü bu yemek eski bayramların vazgeçilmez yemeklerindendir. Dini bayramlarda, evin erkekleri sabahın ilk ışıklarıyla namaza giderken, evin hanımı da konuklara ve hane halkına ikram etmek üzere yanında pirinç pilavıyla birlikte et kızartması yapma hazırlıklarına başlardı. Bayram namazından sonra evin reisinin birkaç erkek misafirle eve dönmesi oturmuş bir gelenekti. Misafirler namaz dönüşünde bu ikramdan nasibini aldıktan sonra hane halkı da sofraya otururdu. Yeteri kadar yapılmış olan et kızartması daha sonra uzak yerlerden bayram ziyaretine gelen konuklara da ikram edilirdi. Et Kızartması Malzemeleri Nelerdir 1 kg büyük parça et 1 yemek kaşığı salça 1 çay bardağı ayçiçek yağı Tuz Karabiber Parça etler biraz salça ile ovalandıktan sonra ayrı bir tencerede kızartılır. Daha sonra etin üzerini basacak kadar aynı tencereye su ekleyip pişmeye bırakılır. Et pişince bir tutam karabiber eklenip servis edilir. Kaynakça: Adıyaman CEMİLE yemek kitabı","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528110035667_Et kizarma.jpg?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528110035667_Et kizarma.jpg?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/06022013/aceb726f-6121-4683-8306-f4ce14ded3be.JPG?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20260122115425479_Helise.jpeg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/28012013/9fd76536-b2ca-4f45-adf2-0e3853404c0b.JPG?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/et-kizartmasi-1","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-silke---sileki--sillik-tatlisi-","adiyaman","Adıyaman","ŞİLKE","","26","Şilke Tarifi Geleneksel bir yöre tatlısı olan şilke, Kürtlerin yaşadığı hemen her coğrafyada değişik ad ve yöntemlerle yapılır ve sevilerek yenir. Bu tatlının adı etimolojik olarak Kürtçedir. Bu isimde kürt mutfağından birçok yemek ve tatlı gibi adını yapılış zelliğinden alır. Bu tatlının hamuru cıvık ve yendiğinde insanın damağında ıslak bir tat bıraktığından yöre halkı bu tatlıya Türkçeye &quot;ıslak tatlı&quot; olarak çevirebilleceğimiz Şilke / Şileki adını vermiştir. Eski Adıyaman mutfağında önemli bir yeri olan bu tatlının pişerken hamurunda delikler oluştuğundan, başka yörelerde delikli ekmek manasında nan&ecirc; kaniki, bazı yörelerde ise üzerinde piştiği nesne sac yerine taş olduğundan &quot;taş ekmeği&quot; manasında nan&ecirc; kevire gibi adların verildiği bilinmektedir. Şilke Malzemeleri Nelerdir (4 Kişilik) 2 su bardağı un 300 g ceviz içi 1/2 lt pekmez 3 yemek kaşığı tereyağı 4 su bardağı su Şilke Nasıl Yapılır Derin bir tencerede 2 su bardağı un, 4 su bardağı su ile akıcı hamur kıvamına gelinceye kadar elle çırpılır. Sacın altı yakılır, hamurların yapışmaması için sacın üzeri yağlanır. Hazırlanan hamurdan bir kepçe alınarak saca dökülür. Oklava ya da tahta bir kaşık yardımıyla saca incecik yayılır, pişince diğer tarafı çevrilir. Bütün hamura aynı işlem uygulanır. Ceviz içi dövülerek bir kaba alınır. Sacda pişirilmiş ekmekler (yufka) sayılarak iki kısma bölünür. Bir tepsiye birinci yarısı üst üste serilerek üzerine ceviz serpilir. Sonra ikinci yarısı da üst üste s","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190529123919287_Siliki (12).JPG?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190529123919287_Siliki (12).JPG?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/25022013/37786a62-22eb-4a01-8c35-e555615fba51.JPG?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/20082013/b8a45465-bc86-4b87-9b28-1a705ed3d6a3.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/21022013/70b747ff-845b-4861-8df0-1578d6195016.jpg?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/silke---sileki--sillik-tatlisi-","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-dovmec-1","adiyaman","Adıyaman","DÖVMEÇ","","26","Dövmeç Malzemeleri Nelerdir 5 adet büyük boy patlıcan 2 adet domates 5-6 adet etli dolmalık biber 5 diş sarımsak 125 g tereyağ Dövmeç Nasıl Yapılır Öncelikle patlıcan, domates ve biberler fırınlanıp kabukları soyulur. Karıştırıcı yardımıyla iyice ezilir, yine sarımsaklar da ezerek bu karışıma ilave edilir, tuz eklenir. Hazırlanmış olan karışım cam bir fırın kabına konulur ve üzeri bir kaşık yardımıyla düzelterek küçük parçalar halinde tereyağı ilave edilir. Orta dereceli ısıda üzeri kızarana kadar pişirilir. Kaynak: Adıyaman CEMİLE yemek kitabı, Mehmet ÖNCÜ","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528104450801_Dovmec.jpg?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528104450801_Dovmec.jpg?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528104450801_Dovmec.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530105420582_EKSILI_KOFTE.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/10012013/3ee407d2-9ad1-43ff-a182-8379592a1883.jpg?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/dovmec-1","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-semsek800777","adiyaman","Adıyaman","SEMSEK","","26","Semsek Malzemeleri Nelerdir (6 kişilik) 400 g Adıyaman peyniri (tuzsuz) 1 demet maydanoz &frac12; kg un 1 su bardağı yağ Tuz Yeteri kadar su 2 su bardağı Semsek Nasıl Yapılır Bir kapta hamur yoğrularak bezeler haline getirilir. İnce kıyılmış maydanoz elle ovularak ufaltılmış peynire bir miktar tuz ile beraber ilave edilerek karıştırılır. Yuvarlak ya da kare şeklinde açılan cevizden biraz büyük bezelerin bir tarafına serilir, hamurun öteki tarafı üstüne kapatılır. Hazırlanan semsekler yağda kızartılarak servis edilir. Kaynak: Öncü,M.(2016).Adıyaman Cemile Mutfak Kültürü. Adıyaman Tanıtma Vakfı Yayınları(ATAV)","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528110757345_IMG_0030.jpg?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528110757345_IMG_0030.jpg?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528110757345_IMG_0030.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528110812518_IMG_0031.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20220906091821404__MG_9936.jpg?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/semsek800777","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-kavurmali-hitap-1","adiyaman","Adıyaman","KAVURMALI HITAP","","26","Kavurmalı Hıtap Malzemeleri Nelerdir (6 kişilik) 3 topak kavurma (takriben her topak 100&ndash;150 g ağırlığındadır.) Soğan (orta boy) 5 baş 100 g kırmızı pul biber Yeteri kadar tuz 6 Beze hamur (birer ekmeklik) Kavurmalı Hıtap Nasıl Yapılır Kavurmalar küçük küçük doğranır, soğanlar soyulur, yıkandıktan sonra halka şeklinde ama ince ince doğranır. Kavurma, soğan, kırmızı pul biber ile yeteri kadar tuz karıştırılarak yoğrulur. Hazır hale gelen iç harç bir tepsi içinde pide fırınına götürülür. Fırıncı ustası yuvarlak açtığı ekmek hamurlarının yarısını taşmayacak şekilde iç harcı açılan hamura sererek eliyle düzler, öteki yarısını da üstüne kapatarak eliyle bastırır. Ağzı kapalı hıtapları iki eliyle hafif sündürerek uzatır, sonra da ekmek küreğiyle ocağa sürer. Takriben 15 dakika pişen kavurmalı hıtaplar servise hazır hale gelir. Kaynak: Öncü,M.(2016).Adıyaman Cemile Mutfak Kültürü. Adıyaman Tanıtma Vakfı Yayınları(ATAV)","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528122426548_Hitap.jpg?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528122426548_Hitap.jpg?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528122426548_Hitap.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/27022013/0d631801-dff4-4982-ae3a-31c05a08759d.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/20022013/609268c2-d015-4154-8f46-c9d8e60f6144.jpg?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/kavurmali-hitap-1","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-yarpuz-salatasi-1","adiyaman","Adıyaman","YARPUZ SALATASI","","26","Yarpuz / Pung (Mentho Pulegium) : Yörede konuşulan Kürtçe'de, pung olarak tabir edilen bu bitkinin Adıyaman kent merkezindeki adı yarpız dır. Ballıbabagillerden, çiçekleri morumsu, yaprakları oval, kuvvetli kokusu olan, faydalı bir bitkidir. Adıyaman yemek kültüründe geniş yer tutan bu bitki soğuk-sıcak birçok yemek çeşidinin ana maddesinden oluşur. Yarpuzlu köfte, yarpuz hıtabı, yarpız salatası, yarpız cacığı, bunlardan bir kaçı olup, köfte pilav gibi kuru yemeklerin yanında yeşillik olarak da tüketilir.Bahar aylarında dere kenarlarında ve sulk alanlarda yetişen bu hoş kokulu ottan yapılan salata tamamen yöreye aittir ve Adıyaman coğrafyasının heen her yerlei yerinde bilinir, yapılır ve sevşierke yemeklerin yanında servis edilir. Yarpuz Salatası Malzemeleri Nelerdir (6 kişilik) 300 g yarpuz (pung) 9 adet yumurta 1 demet Soğan(Yeşil soğan) 1 kahve fincanı zeytinyağı 1 yemek kaşığı kırmızı pul biber 1 yemek kaşığı koruk ekşisi yeteri kadar tuz Yarpuz Salatası Nasıl Yapılır Yarpuzlar bol suyla yıkandıktan sonra seçilir ve doğranır. Yumurtalar haşlanır soyularak doğranır. Soğanlar ince kıyılır. Bir tepsi içinde harmanlanır, zeytinyağı, koruk ekşisi, kırmızı pul biber ve tuz ilave ediilir, salata ezilmeden karıştırıldıktan sonra servis edilir. Kaynak: Öncü, M.(2016).Adıyaman Cemile Mutfak Kültürü. Adıyaman Tanıtma Vakfı Yayınları(ATAV)","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528120119453_Yarpuz mancasi (2).JPG?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190528120119453_Yarpuz mancasi (2).JPG?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/07032013/d0307b5d-91ee-417e-ac23-a915dbe9ff19.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20210418012707821_Yelten_Tarhanasi.png?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20170608114744229_Yanuc.jpg?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/yarpuz-salatasi-1","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-elma-kurusu-hosafi","adiyaman","Adıyaman","ELMA KURUSU HOŞAFI","","26","Elma Kurusu Hoşafı Malzemeleri Nelerdir 1 su bardağı kuru elma 1 su bardağı kuru üzüm 1 su bardağı toz şeker 1/2 litre su 1 çay karşığı tarçın Elma Kurusu Hoşafı Nasıl Yapılır Kuru elma kakları ve üzümler iyice yıkanır, suya konularak bir gece bekletilir. Sonra tencereye alınır, suyu ile birlikte beraber 40 dakika kadar kaynatılır. Toz şeker ilave edildikten sonra, bir süre daha kaynatılarak ateşten alınır. Soğutularak servis yapılır. Kaynak: Öncü,M.(2016).Adıyaman Cemile Mutfak Kültürü. Adıyaman Tanıtma Vakfı Yayınları(ATAV)","https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530112413432_elma hosafi (4).JPG?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/SehirRehberi//TurkMutfagi/20190530112413432_elma hosafi (4).JPG?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/10012013/bdfeb654-9882-48e6-aed5-ad535a455b0a.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/05022013/a651ae66-18d0-4dae-a943-bd1afdade33e.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/13042015/94463f95-69a3-4165-ae2c-b1f3a93f97c6.jpg?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/elma-kurusu-hosafi","2026-09-18T15:23:28.039Z","source_imported"
